points_amount;deviation
100;17.6541
600;9.79449
1100;4.80383
1600;2.21428
2100;3.92982
2600;0.16108
3100;2.04826
3600;1.35651
4100;2.33981
4600;4.45194
5100;4.13165
5600;1.47905
6100;1.79243
6600;0.437006
7100;0.402093
7600;0.589034
8100;0.136642
8600;0.299182
9100;0.217636
9600;0.605964
10100;0.634627
10600;0.369268
11100;0.0576483
11600;0.0928225
12100;0.380294
12600;0.335358
13100;0.524934
13600;1.00331
14100;1.73977
14600;1.36826
15100;1.15769
15600;1.68642
16100;1.73478
16600;1.22216
17100;1.40166
17600;1.22005
18100;1.38969
18600;0.830782
19100;1.37897
19600;1.68912
20100;1.47173
20600;1.61468
21100;1.94597
21600;1.49947
22100;1.49236
22600;1.48556
23100;1.70185
23600;1.03667
24100;0.997032
24600;0.707955
25100;0.184341
25600;0.0832606
26100;0.250573
26600;0.00858869
27100;0.220205
27600;0.163094
28100;0.437691
28600;0.774669
29100;0.64023
29600;0.440785
30100;0.453147
30600;0.263277
31100;0.0795113
31600;0.16215
32100;0.0143157
32600;0.185368
33100;0.320155
33600;0.604104
34100;0.487315
34600;0.582146
35100;0.527648
35600;0.330113
36100;0.537234
36600;0.710572
37100;0.71277
37600;0.851788
38100;0.608928
38600;0.345694
39100;0.273469
39600;0.488992
40100;0.288437
40600;0.219586
41100;0.102322
41600;0.0621066
42100;0.193993
42600;0.0811578
43100;0.114234
43600;0.0757268
44100;0.0319294
44600;0.185934
45100;0.0118491
45600;0.363305
46100;0.461529
46600;0.425114
47100;0.258349
47600;0.116711
48100;0.0422167
48600;0.24254
49100;0.479569
49600;0.442037
50100;0.528526
50600;0.755703
51100;0.656141
51600;0.738041
52100;0.620803
52600;0.721051
53100;1.01326
53600;0.992752
54100;0.801388
54600;0.971719
55100;0.877425
55600;0.914417
56100;0.748922
56600;0.659095
57100;0.660974
57600;0.752171
58100;0.629202
58600;0.543462
59100;0.615922
59600;0.410838
60100;0.226294
60600;0.282592
61100;0.13581
61600;0.0916701
62100;0.147692
62600;0.169934
63100;0.0776349
63600;0.0515245
64100;0.0418796
64600;0.175788
65100;0.370885
65600;0.484554
66100;0.596503
66600;0.444031
67100;0.339852
67600;0.328573
68100;0.332576
68600;0.321515
69100;0.399991
69600;0.432972
70100;0.392065
70600;0.337157
71100;0.34093
71600;0.344651
72100;0.291214
72600;0.19598
73100;0.0879669
73600;0.00459287
74100;0.00133345
74600;0.0480113
75100;0.0829929
75600;0.0186421
76100;0.159519
76600;0.0163669
77100;0.0581763
77600;0.0787009
78100;0.19122
78600;0.380881
79100;0.41199
79600;0.481501
80100;0.473042
80600;0.503
81100;0.48182
81600;0.498743
82100;0.565609
82600;0.494589
83100;0.610222
83600;0.589034
84100;0.506902
84600;0.571744
85100;0.623729
85600;0.554858
86100;0.558518
86600;0.69288
87100;0.695705
87600;0.651496
88100;0.526004
88600;0.622664
89100;0.637372
89600;0.697868
90100;0.666298
90600;0.66916
91100;0.604198
91600;0.584894
92100;0.5658
92600;0.635838
93100;0.583506
93600;0.729681
94100;0.688345
94600;0.560401
95100;0.574508
95600;0.610001
96100;0.612993
96600;0.615953
97100;0.56588
97600;0.558505
98100;0.48825
98600;0.460465
99100;0.443347
99600;0.488408
