points_amount;square
100;0.777771
600;1.03703
1100;0.98989
1600;0.923603
2100;0.907399
2600;0.946039
3100;0.925171
3600;0.931705
4100;0.922417
4600;0.902468
5100;0.905493
5600;0.930547
6100;0.927587
6600;0.948645
7100;0.940719
7600;0.938954
8100;0.945808
8600;0.947343
9100;0.946573
9600;0.938794
10100;0.938523
10600;0.941029
11100;0.945062
11600;0.945394
12100;0.948109
12600;0.94135
13100;0.939559
13600;0.935041
14100;0.928085
14600;0.931594
15100;0.933583
15600;0.928589
16100;0.928132
16600;0.932974
17100;0.931278
17600;0.932994
18100;0.931391
18600;0.93667
19100;0.931493
19600;0.928563
20100;0.930616
20600;0.929266
21100;0.926137
21600;0.930354
22100;0.930422
22600;0.930486
23100;0.928443
23600;0.934726
24100;0.9351
24600;0.93783
25100;0.942776
25600;0.943731
26100;0.946884
26600;0.944436
27100;0.942437
27600;0.942977
28100;0.940383
28600;0.9372
29100;0.93847
29600;0.940354
30100;0.940237
30600;0.94203
31100;0.943766
31600;0.942986
32100;0.944652
32600;0.946268
33100;0.947541
33600;0.950223
34100;0.94912
34600;0.950016
35100;0.949501
35600;0.947635
36100;0.949591
36600;0.951229
37100;0.951249
37600;0.952562
38100;0.950269
38600;0.947782
39100;0.9471
39600;0.949136
40100;0.947242
40600;0.946591
41100;0.945484
41600;0.945104
42100;0.946349
42600;0.945284
43100;0.945596
43600;0.945232
44100;0.944216
44600;0.946273
45100;0.944405
45600;0.941086
46100;0.940158
46600;0.940502
47100;0.942077
47600;0.943415
48100;0.944118
48600;0.946808
49100;0.949047
49600;0.948692
50100;0.949509
50600;0.951655
51100;0.950715
51600;0.951488
52100;0.950381
52600;0.951328
53100;0.954088
53600;0.953894
54100;0.952086
54600;0.953695
55100;0.952805
55600;0.953154
56100;0.951591
56600;0.950742
57100;0.95076
57600;0.951622
58100;0.95046
58600;0.94965
59100;0.950335
59600;0.948398
60100;0.946655
60600;0.947186
61100;0.9458
61600;0.945383
62100;0.945912
62600;0.946122
63100;0.94525
63600;0.945004
64100;0.944913
64600;0.946178
65100;0.94802
65600;0.949094
66100;0.950151
66600;0.948711
67100;0.947727
67600;0.947621
68100;0.947658
68600;0.947554
69100;0.948295
69600;0.948607
70100;0.94822
70600;0.947702
71100;0.947737
71600;0.947772
72100;0.947268
72600;0.946368
73100;0.945348
73600;0.944474
74100;0.94453
74600;0.944064
75100;0.943733
75600;0.944693
76100;0.946024
76600;0.944672
77100;0.943968
77600;0.943774
78100;0.942711
78600;0.94092
79100;0.940626
79600;0.939969
80100;0.940049
80600;0.939766
81100;0.939966
81600;0.939806
82100;0.939175
82600;0.939846
83100;0.938754
83600;0.938954
84100;0.939729
84600;0.939117
85100;0.938626
85600;0.939276
86100;0.939242
86600;0.937973
87100;0.937946
87600;0.938364
88100;0.939549
88600;0.938636
89100;0.938497
89600;0.937926
90100;0.938224
90600;0.938197
91100;0.93881
91600;0.938993
92100;0.939173
92600;0.938512
93100;0.939006
93600;0.937625
94100;0.938016
94600;0.939224
95100;0.939091
95600;0.938756
96100;0.938727
96600;0.938699
97100;0.939172
97600;0.939242
98100;0.939906
98600;0.940168
99100;0.94033
99600;0.939904
